Close,Date,High,Low,Open,Volume
8960.01,2020-05-26,8995.0,8950.0,8992.99,1091.261048
8930.38,2020-05-26,8993.0,8920.74,8960.01,1526.512909
8893.7,2020-05-26,8931.74,8870.0,8930.37,1846.814485
8892.37,2020-05-26,8897.29,8832.38,8893.7,2348.8561
8861.41,2020-05-26,8900.0,8861.0,8892.37,1027.940694
8859.15,2020-05-26,8877.28,8845.0,8861.51,996.394353
8869.15,2020-05-26,8886.0,8841.0,8859.16,858.37094
8829.98,2020-05-26,8914.56,8808.9,8869.32,1929.414678
8817.21,2020-05-26,8829.99,8788.04,8829.99,1934.150393
8845.75,2020-05-26,8862.0,8785.03,8816.76,1527.210096
8809.22,2020-05-26,8847.54,8800.33,8846.46,998.813289
8846.73,2020-05-26,8858.96,8791.91,8809.15,1350.292383
8817.17,2020-05-26,8858.0,8808.11,8846.1,1145.967477
8755.0,2020-05-26,8837.26,8730.45,8817.5,2037.475269
8726.6,2020-05-26,8771.0,8705.0,8755.01,2657.53368
8790.25,2020-05-26,8808.45,8700.0,8726.6,2846.346995
8790.01,2020-05-26,8795.0,8769.45,8790.25,977.322148
8812.09,2020-05-26,8820.0,8782.73,8790.01,1160.083345
8811.03,2020-05-26,8819.99,8788.88,8812.21,734.530314
8814.36,2020-05-26,8819.99,8792.0,8810.67,1027.917531
8810.99,2020-05-27,8817.09,8796.02,8814.17,602.486877
8779.15,2020-05-27,8811.0,8766.01,8810.99,979.975601
8800.0,2020-05-27,8801.37,8760.2,8779.19,949.699961
8827.16,2020-05-27,8846.33,8799.99,8800.0,1196.473955
8856.2,2020-05-27,8880.0,8823.67,8828.34,1204.662043
8840.67,2020-05-27,8880.0,8825.63,8855.93,841.80944
8842.25,2020-05-27,8860.51,8835.01,8841.65,524.486879
8820.55,2020-05-27,8843.95,8801.12,8842.98,769.981319
8834.92,2020-05-27,8839.95,8803.3,8820.55,736.888963
8827.09,2020-05-27,8859.0,8827.09,8834.59,640.979199
8841.18,2020-05-27,8849.11,8815.0,8828.21,557.714661
8863.58,2020-05-27,8875.54,8832.61,8841.0,1132.854776
8886.87,2020-05-27,8897.8,8849.16,8863.57,1148.819575
8859.12,2020-05-27,8893.0,8854.69,8886.88,588.960397
8855.0,2020-05-27,8872.26,8845.79,8859.15,543.032225
8860.01,2020-05-27,8878.16,8855.0,8855.0,812.615412
8822.59,2020-05-27,8863.39,8811.73,8860.01,914.117924
8840.61,2020-05-27,8843.53,8820.43,8821.76,536.814443
8828.9,2020-05-27,8854.68,8827.6,8840.61,577.720912
8830.51,2020-05-27,8849.51,8825.0,8829.12,455.836894
8859.62,2020-05-27,8860.68,8825.43,8831.27,704.370219
8869.5,2020-05-27,8881.69,8855.35,8859.65,1067.339248
8878.0,2020-05-27,8878.61,8858.11,8869.67,551.986587
8847.56,2020-05-27,8887.75,8845.0,8878.0,755.741473
8846.37,2020-05-27,8855.0,8831.82,8847.62,717.439001
8847.52,2020-05-27,8859.37,8829.4,8846.38,687.649156
8844.28,2020-05-27,8862.5,8839.44,8847.49,930.421994
8937.56,2020-05-27,8955.0,8844.0,8844.89,2745.371029
8930.0,2020-05-27,8955.0,8912.91,8937.57,1782.193753
8918.94,2020-05-27,8940.0,8912.0,8930.0,1330.413618
8923.57,2020-05-27,8933.0,8902.91,8918.15,1144.976271
8987.23,2020-05-27,8997.23,8918.51,8923.57,1986.641631
9128.0,2020-05-27,9170.0,8982.01,8986.17,7569.400323
9135.0,2020-05-27,9160.0,9113.25,9128.1,2666.716022
9150.74,2020-05-27,9152.48,9107.15,9136.62,2161.380705
9170.08,2020-05-27,9190.0,9144.8,9148.87,3064.992898
9145.0,2020-05-27,9180.0,9125.32,9170.94,2330.880733
9170.15,2020-05-27,9182.99,9135.0,9145.0,2025.133895
9147.25,2020-05-27,9177.32,9126.03,9170.15,2396.344166
9146.6,2020-05-27,9151.32,9120.0,9148.02,1984.466529
9153.02,2020-05-27,9169.89,9138.33,9146.59,1270.918227
9146.85,2020-05-27,9225.0,9134.0,9153.06,3455.772395
9148.0,2020-05-27,9164.3,9125.1,9146.56,1737.021197
9165.7,2020-05-27,9190.0,9135.88,9148.01,1201.896472
9170.24,2020-05-27,9196.73,9164.02,9166.12,1145.298562
9191.47,2020-05-27,9199.81,9163.45,9170.24,1461.164411
9189.65,2020-05-27,9218.92,9177.83,9190.03,1540.243704
9181.01,2020-05-27,9199.12,9159.79,9189.65,1007.843753
9169.48,2020-05-28,9185.0,9160.01,9182.36,550.433639
9160.79,2020-05-28,9172.36,9138.39,9169.39,813.557833
9159.99,2020-05-28,9163.74,9137.71,9160.79,652.034537
9169.13,2020-05-28,9174.22,9154.87,9159.99,547.94742
9165.21,2020-05-28,9176.0,9157.21,9168.71,624.367855
9142.55,2020-05-28,9168.38,9142.5,9167.25,655.409336
9069.71,2020-05-28,9142.54,9052.39,9142.54,2652.696669
9113.38,2020-05-28,9130.0,9052.32,9069.19,1134.882542
9104.01,2020-05-28,9123.95,9085.72,9113.83,669.700599
9136.48,2020-05-28,9149.0,9095.0,9104.09,745.846415
9204.07,2020-05-28,9205.42,9135.01,9135.99,1728.688139
9197.96,2020-05-28,9210.48,9163.57,9204.07,1690.408753
9266.45,2020-05-28,9280.78,9177.01,9197.96,1896.264484
9229.01,2020-05-28,9279.8,9222.0,9267.21,1785.78425
9217.9,2020-05-28,9242.89,9215.43,9229.01,796.226737
9186.46,2020-05-28,9232.6,9158.47,9217.89,1007.980508
9204.37,2020-05-28,9213.01,9178.19,9186.59,729.08378
9185.86,2020-05-28,9205.74,9179.59,9204.37,525.511345
9172.91,2020-05-28,9192.85,9155.67,9185.71,613.1367
9199.94,2020-05-28,9201.72,9134.83,9171.6,968.399463
9181.91,2020-05-28,9201.2,9167.01,9200.47,649.451254
9161.93,2020-05-28,9181.92,9159.38,9181.83,577.273927
9167.75,2020-05-28,9177.36,9120.01,9162.3,1152.915766
9158.01,2020-05-28,9179.85,9155.04,9167.75,699.146626
9170.56,2020-05-28,9172.01,9147.0,9159.04,794.130402
9181.95,2020-05-28,9182.94,9165.35,9170.15,554.720287
9150.44,2020-05-28,9181.95,9126.36,9181.95,1127.697674
9144.89,2020-05-28,9150.5,9110.0,9150.06,581.300927
